	Class	Date	Mean	SD
182	Other	32917	0.218	0.007211103
183	Other	41217	0.225	0.017349352
184	Other	42017	0.1	0.008888194
185	Other	50317	0.164	0.026514147
186	Other	60717	0.084	0.004582576
187	Other	61517	0.137333333	0.01040833
188	Other	62217	0.142666667	0.030353473
189	Other	70617	0.076	0.011532563
190	Other	72117	0.073666667	0.004163332
191	Other	72717	0.156666667	0.014640128
192	Other	80317	0.13	0.010535654
193	Other	81017	0.068333333	0.007637626
194	Other	81617	0.098	0.033151169
195	Other	82317	0.068	0.007549834
196	Other	83017	0.1075	0.010606602
197	Other	90617	0.108666667	0.024193663
198	Other	92017	0.122666667	0.019655364
199	Other	92617	0.147333333	0.032624122
200	Other	100417	0.097	0.011357817
201	Other	101117	0.102	0.002828427
202	Other	101817	0.150666667	0.004041452
203	Other	110817	0.167	0.006928203
204	Other	111617	0.209666667	0.01266228
205	Other	112117	0.1445	0.007778175
206	Other	120717	0.293333333	0.006027714
207	Other	121417	0.22	0.015
